id,user_id,order_date,status
1,1,2018-01-01 00:00:00,returned
2,3,2018-01-02 00:00:00,completed
3,94,2018-01-04 00:00:00,completed
4,50,2018-01-05 00:00:00,completed
5,64,2018-01-05 00:00:00,completed
6,54,2018-01-07 00:00:00,completed
7,88,2018-01-09 00:00:00,completed
8,2,2018-01-11 00:00:00,returned
9,53,2018-01-12 00:00:00,completed
10,7,2018-01-14 00:00:00,completed
11,99,2018-01-14 00:00:00,completed
12,59,2018-01-15 00:00:00,completed
13,84,2018-01-17 00:00:00,completed
14,40,2018-01-17 00:00:00,returned
15,25,2018-01-17 00:00:00,completed
16,39,2018-01-18 00:00:00,completed
17,71,2018-01-18 00:00:00,completed
18,64,2018-01-20 00:00:00,returned
19,54,2018-01-22 00:00:00,completed
20,20,2018-01-23 00:00:00,completed
21,71,2018-01-23 00:00:00,completed
22,86,2018-01-24 00:00:00,completed
23,22,2018-01-26 00:00:00,return_pending
24,3,2018-01-27 00:00:00,completed
25,51,2018-01-28 00:00:00,completed
26,32,2018-01-28 00:00:00,completed
27,94,2018-01-29 00:00:00,completed
28,8,2018-01-29 00:00:00,completed
29,57,2018-01-31 00:00:00,completed
30,69,2018-02-02 00:00:00,completed
31,16,2018-02-02 00:00:00,completed
32,28,2018-02-04 00:00:00,completed
33,42,2018-02-04 00:00:00,completed
34,38,2018-02-06 00:00:00,completed
35,80,2018-02-08 00:00:00,completed
36,85,2018-02-10 00:00:00,completed
37,1,2018-02-10 00:00:00,completed
38,51,2018-02-10 00:00:00,completed
39,26,2018-02-11 00:00:00,completed
40,33,2018-02-13 00:00:00,completed
41,99,2018-02-14 00:00:00,completed
42,92,2018-02-16 00:00:00,completed
43,31,2018-02-17 00:00:00,completed
44,66,2018-02-17 00:00:00,completed
45,22,2018-02-17 00:00:00,completed
46,6,2018-02-19 00:00:00,completed
47,50,2018-02-20 00:00:00,completed
48,27,2018-02-21 00:00:00,completed
49,35,2018-02-21 00:00:00,completed
50,51,2018-02-23 00:00:00,completed
51,71,2018-02-24 00:00:00,completed
52,54,2018-02-25 00:00:00,return_pending
53,34,2018-02-26 00:00:00,completed
54,54,2018-02-26 00:00:00,completed
55,18,2018-02-27 00:00:00,completed
56,79,2018-02-28 00:00:00,completed
57,93,2018-03-01 00:00:00,completed
58,22,2018-03-01 00:00:00,completed
59,30,2018-03-02 00:00:00,completed
60,12,2018-03-03 00:00:00,completed
61,63,2018-03-03 00:00:00,completed
62,57,2018-03-05 00:00:00,completed
63,70,2018-03-06 00:00:00,completed
64,13,2018-03-07 00:00:00,completed
65,26,2018-03-08 00:00:00,completed
66,36,2018-03-10 00:00:00,completed
67,79,2018-03-11 00:00:00,completed
68,53,2018-03-11 00:00:00,completed
69,3,2018-03-11 00:00:00,completed
70,8,2018-03-12 00:00:00,completed
71,42,2018-03-12 00:00:00,shipped
72,30,2018-03-14 00:00:00,shipped
73,19,2018-03-16 00:00:00,completed
74,9,2018-03-17 00:00:00,shipped
75,69,2018-03-18 00:00:00,completed
76,25,2018-03-20 00:00:00,completed
77,35,2018-03-21 00:00:00,shipped
78,90,2018-03-23 00:00:00,shipped
79,52,2018-03-23 00:00:00,shipped
80,11,2018-03-23 00:00:00,shipped
81,76,2018-03-23 00:00:00,shipped
82,46,2018-03-24 00:00:00,shipped
83,54,2018-03-24 00:00:00,shipped
84,70,2018-03-26 00:00:00,placed
85,47,2018-03-26 00:00:00,shipped
86,68,2018-03-26 00:00:00,placed
87,46,2018-03-27 00:00:00,placed
88,91,2018-03-27 00:00:00,shipped
89,21,2018-03-28 00:00:00,placed
90,66,2018-03-30 00:00:00,shipped
91,47,2018-03-31 00:00:00,placed
92,84,2018-04-02 00:00:00,placed
93,66,2018-04-03 00:00:00,placed
94,63,2018-04-03 00:00:00,placed
95,27,2018-04-04 00:00:00,placed
96,90,2018-04-06 00:00:00,placed
97,89,2018-04-07 00:00:00,placed
98,41,2018-04-07 00:00:00,placed
99,85,2018-04-09 00:00:00,placed
